SourceClass,TargetClass,ArchimateRelationship,CMDB Relationship,Keep relationship direction
cmdb_ci_vmware_instance,cmdb_ci_cluster,RealizationRelationship,Members::Member of,FALSE
cmdb_ci_vmware_instance,cmdb_ci_db_db2_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_vmware_instance,cmdb_ci_db_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_vmware_instance,cmdb_ci_db_mssql_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_vmware_instance,cmdb_ci_db_mysql_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_vmware_instance,cmdb_ci_db_ora_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_vmware_instance,cmdb_ci_db_syb_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_vmware_instance,cmdb_ci_lb_appl,RealizationRelationship,Depends on::Used by,FALSE
cmdb_ci_vmware_instance,cmdb_ci_vm_instance,ServingRelationship,PASS-THRU,FALSE
cmdb_ci_vmware_instance,cmdb_ci_vmware_instance,ServingRelationship,PASS-THRU,FALSE
cmdb_ci_vmware_instance,service_offering,ServingRelationship,Depends on::Used by, False
cmdb_ci_vmware_instance,service_offering,RealizationRelationship,Depends on::Used by, False
cmdb_ci_win_server,cmdb_ci_aix_server,ServingRelationship,Depends on::Used by,FALSE
cmdb_ci_win_server,cmdb_ci_appl,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_win_server,cmdb_ci_appl,RealizationRelationship,Runs on::Runs,FALSE
cmdb_ci_win_server,cmdb_ci_cluster,RealizationRelationship,Members::Member of,FALSE
cmdb_ci_win_server,cmdb_ci_cluster,CompositionRelationship,Members::Member of,TRUE
cmdb_ci_win_server,cmdb_ci_db_db2_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_win_server,cmdb_ci_db_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_win_server,cmdb_ci_db_mssql_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_win_server,cmdb_ci_db_mysql_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_win_server,cmdb_ci_db_ora_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_win_server,cmdb_ci_db_syb_instance,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_win_server,cmdb_ci_lb_appl,RealizationRelationship,Depends on::Used by,FALSE
cmdb_ci_win_server,cmdb_ci_lb_appl,ServingRelationship,Depends on::Used by,FALSE
cmdb_ci_win_server,cmdb_ci_linux_server,ServingRelationship,Depends on::Used by,FALSE
cmdb_ci_win_server,cmdb_ci_win_server,ServingRelationship,Depends on::Used by,FALSE
cmdb_ci_win_server,cmdb_ci_win_server,SpecializationRelationship,PASS-THRU,FALSE
cmdb_ci_win_server,service_offering,ServingRelationship,Depends on::Used by, False
cmdb_ci_win_server,service_offering,RealizationRelationship,Depends on::Used by, False
service_offering,cmdb_ci_appl,ServingRelationship,PASS-THRU,FALSE
service_offering,cmdb_ci_appl,RealizationRelationship,PASS-THRU,FALSE
service_offering,cmdb_ci_service,ServingRelationship,Depends on::Used by,FALSE
service_offering,service_offering,ServingRelationship,Depends on::Used by, False
cmdb_ci_solaris_server,cmdb_ci_appl,ServingRelationship,Runs on::Runs,FALSE
cmdb_ci_solaris_server,cmdb_ci_appl,RealizationRelationship,Runs on::Runs,FALSE
cmdb_ci_netgear,service_offering,ServingRelationship,Depends on::Used by,FALSE
